"Unc00re8","Unc018j2","Unc58370","GV2Pseu5","Unc003tx","Unc56563","F1NS1036","Unc05ssb","Unc04zvf","Unc59236","UncCl489","Unc010jp","Unc36521","UncO7791","Unc00a9i","Unc01w4h","Unc00mrp","UncO6496","Unc40572","Unc02lzj","UncO6120","Unc02f9r","G9KS1076","GF3Sang7","Unc03dvp","Unc05bd1","Unc03f5u","Unc04ri8","UncB2490","Unc055ix","Unc69508","Unc39912","Unc01p12","Unc015db","UncO7042","UncO6861","GWMAdo11","Unc052sp","Unc0137f","Unc01n5f","Unc00ldp","Unc03u8h","GG7Cop16","Unc94574","Unc04y3m","Unc00z5u","Unc021us","Unc03exo","Unc02o1s","GHQBrach","UncTer61","HQ1Spe60","Unc013ok","Unc71265","Unc01iri","H9MBac20","Unc019hw","Unc05quh","H0LCorp2","Unc053aw","Unc057li","Unc05768","Unc05quo","Unc01bfz","Gt8Me241","Unc21180","Unc002el","Unc00cq3","GV2Spe54","Unc054am","Unc02ruj","Gt8Me197","Unc57731","Unc01nqn","Unc99918","Unc89581","Unc0317w","UncAna95","Mx8Bact3","Unc94755","Unc02j5b","Unc57758","Unc056wq","Unc21606","Unc01t8m","FNWNL294","Unc056qn","F1NAe698","FU3Spe44","Unc91094","Unc00kv7","S53Therm","Unc01ie9","Unc04hvv","Unc44355","H0BCorr7","UncO2214","Unc03rga","Unc052lg","RbuSp395","Unc024ne","FNWNL411","Unc05eti","Unc02m8q","Unc04shn","HJZIndis","Unc022vh","Unc054vi","Gt8Me128","Unc052dz","VeeSpec9","HFOSpec6","Unc02mlm","Unc02q6j","Unc006la","Unc0100q","GFQLact9","Unc94497","Unc01c0q","Unc19563","IreBac57","Unc99751","Unc002vf","UncSta97","UncC1868","Unc05m2s","UncO2247","Unc03iyy","Unc05m8w","Unc01220","UncO6479","Unc053gf","Unc55486","Unid1952","Unc75688","G9ZRupe2","Unc050mf","UncO4779","LcbSak39","Unc02j2d","UncO6361","Unc056wt","Unc025rd","Unc038bu","CsrSp463","Unc91193","UncO6106","Unc38154","Unc031wu","Unc029p5","Unc02hhf","Unc02p9p","Unid2117","Unc00v7p","Unc0402j","Unc02v3h","Unc03xpn","Unc054uj","Unc91427","Unc01c0o","ISXSp105","GHQLimo9","Unc81011","Unc01pk4","Unc00mga","GFUMa342","Unc55881","Unc00bms","UncE6774","Rm0Bac17","Unc05oic","FNWNL448","GX7Fr128","GHQSulci","GHQSpe52","Unc036lf","Unc05i7p","Unc65343","Unc04zq9","Unc027v0","Unc01i5a","Unc39082","Unc62424","Unc00ak4","Unc71175","Unc01w9w","Unc04zlo","Unc01hjq","Unc03u2r","SlmBulb2","Unc05m27","Unc48286","Unc02jcp","Unc92642","Unc02j5n","F8IConc2","I88Mits3","Unc05irm","Unc64978","UncO1674","Unc03b0p","Unc04hf4","Gt8Met60","Unc05mrd","Unc04f12","Unc054m4","Unc03j0p","Unc025cz","I97Lenta","UncGranu","Unc02zd0","Unc02irl","Unc02lj0","Unc010xg","Unc03y4v","H9MBac19","Unide146","Unc05o9h","Unc91512","UncO9844","Unc84292","Unc91440","Unc01ll8","UncM5880","I1FDiver","Unc00t43","Unc81236","Unc00f0g","Unc36622","Unc05d9k","Unc01w0v","Rm0Bac15","I52Minu3","Unc91005","CsrNeon2","Unc93973","Unc03uw6","A6BStoq4","Unc0120x","Unc01277","Unc05mei","Unc04443","Unc00m3k","Unc05olb","Unc0163x","Unc02mpn","Unc86145","Unc02ysz","Unc81447","Unc05mdx","UncO8782","G7WHuG28","Unc38399","HfnAlv51","Unc01e6u","Unc019wl","Unc85953","Unc57013","Unc04x9p","Unc02ee9","Unc97262","Unc03evh","Unc01f0v","H4SFili3","UncCl291","GJFBac89","Unc60150","Unc0571u","Unc058de","UncG3786","Gt8Met45","Unc01qt1","UncO8895","Unc01nzf","Unc0195f","Unc00xi0","GW6Spe33","HQVSpec3","Unc01w4o","Unc64172","Unc022fm","Unc04zd2","Unc00y95","UncO5332","Unc0033e","H6ZCacca","HQDYunn7","GH8Micro","Od8Spla3","Unc057b2","Unc055sp","UncOr772","Unc0183e","Unc0546e","Unc05nru","Unc00rvu","Unc03433","Unc009tj","Unc02eb1","Unc01505","UncRumi6"
0,123,0,0,0,1.5,123,22,0,0,0.75,0,1,492,9,0,0,0,0,0,43.5,0,0,3,0,2033.25,0,0,46,3,0.75,0,0,1,0,0,16.5,293,3,0,0,0,0,56,0,225.75,0,0,9,0,0.75,0,5,0,0,0,0,0,0,151,2.25,45,0,0,0,6.75,711,0,0,0,24.75,0,0,18,0,0,0,0,0,42,0,0,36,0,359,2.25,6,1,0,116,0,40.5,7,0,0,0,0,0,0,0,0,246,0,0,8,0,291,2270,0,0,0,0,0,331,0,0,0,0,1,0,0,0,0,27,12,0,0,0,0,0,0,786,0,1,0,0,7.5,0,0,0,57.75,0,0,0,0,0,84,0,0,0,18.75,9,0,0,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,0,0,0,33,0,0,0,0,14,9,20,0,0,11,0,4,0,0,0,0,0,0,372,0,0,58,0,0,0,0,0,0,0,0,0,0,9,42,0,1,59,0,0,0,0,2,0,264,41,13,18,0,0,0,0,0,0,0,0,29,0,359.25,0,0,2794,0,0,0,0,15,53,0,0,0,0,0,0,0,0,0,0,391.5,0,39,0,9,12.75,10.5,0,0,7,0,0,0,0,18,0,0,0,4,267,0,72,147,0,2,0,0,4,1,4624,2.25,0,3,0,0,0,0,13,8,103,0,0,0,0,0,0,51,0,0,18,0
7.5,0,0,0,0,0,3,0,0,0,0,0,0,0,114,0,3,0,0,0,0,1.5,0,0,0,2959.5,0,0,17,349,0,0,0,864,0,0,0,0,3,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,56.25,39,0,0,0,0,520.5,0,0,0,0,0,445,0,0,0,0,0,895,0,0,0,0,367,0,0,0,0,5,1454,0,0,0,0,0,69,0,0,0,0,0,1009.5,0,0,0,5.25,0,0,0,0,0,0,0,0,0,9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,3,0,6,0,16,2,13,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,672,0,0,0,0,0,329,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,819,0,0,0,5,0,0,0,0,0,1111,0,0,571,0,0,0,0,0,0,1684,0,0,1048,0,0,0,0,0,0,0,0,0,0,7,0,0,13.5,0,0,3,0
0,0,0,0,0,0,1.5,15,0,0,0,0,1,0,3,0,0,0,0,0,0,27,0,4,0,451.5,0,0,16,40,217.5,0,0,22,0,0,111,120,0,0,0.75,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0.75,0,0,0,179,0,0,0,0,0,0,169.5,4,0,158,11.25,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0.75,0,0,0,42,0,1.5,3,0,0,0,0,0,29,0,0,3,0,0,0,0,0,3193,0,0,0.75,0,0,3,0,2.25,0,0,85,0,0,0,0,7,30,0,0,0,0,0,0,187.5,0,0,0,0,16.5,0,0,0,6.75,0,0,0,0,0,69,0,0,0,14.25,0,0,27,36,0,0,0,0,0,0,0,0,0,1,0.75,0,2,0,0,0,0,0,0,0,0,0,76,280,2,0,0,0,0,22,0.75,0,0,0,0,91.5,97.5,1,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,1,0,0,0,0,0,0,0.75,0,0,403,0,0,0,0,0,0,0,0,0,0,0,30.75,0,0,195,0,0,0,0,0,39,0,0,0,0,5,0,0,0,0,0,0,0,0,0,34,42.75,7.5,0,0,0,0,0,0,3,0,0.75,0,0,0,13,0,0,37,0,1,0,0,0,26,1115,0,0,151,0,0,0,0,1,120,0,0,0,0,0,151,0,18,0,0,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,27.75,82.5,0,0,0,7.5,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,220,0,0,0,5,0,0,0,0,0,1,1827,0,0,0,0,0,0,570,0,0,0,0,18,6,0,0,32.25,0,0,0,0,0,4.5,2,0,0,39.75,0,0,0,0,0,0,0,0,80,0,0,0,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,187.5,24,234,0,0,0,0,0,0,0,0,0,117,0,0,0,0,226,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,492,0,0,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,259.5,0,0,0,0
0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,1.5,0,0,0,0,45,0,1,0,670.5,1.5,0,37,0,0,0,0,8,0,0,0,15,0,0,0,0,0,13,0,16.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0.75,226.5,0,0,0,0.75,0,0,0,0,0,0,0,0,38,0,0,1,0,1,0.75,22.5,0,0,45,0,6,0,0,0,0,0,0,22,0,0,0,0,0,3,0.75,1.5,115,0,0,0,0,0,8,1,0,0,0,30,0,0,0,0,0,21,21.75,0,0,1,0,9.75,10.5,0,0,0,0,3,0,0,0,0.75,0,0,0,0,0,9,2,0,0,1.5,0,0,0,1,0,0,0,0,6,0,0,0,189,0,0,0,0,0,3,1.5,0,0,0,0,0,0,15,28,0,0,0,0,0,1,0,0,0,0,0,0,43.5,1,0,0,0,0,2,0,0,0,0,0,1,0,5.25,0,0,0,0,0,0,5,3,6,0,61.5,5,0,0,0,25.5,0,0,0,0,0,0,14,0,24.75,0,0,687,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,1,0.75,9,0,1,1,0.75,0,0,1,0,0,0,0,23,44,0,4.5,40,0,0,0,0,0,1,1371,0,0,18,0,0,0,0,0,5,3,0,0,0,0,31,0,6,0,0,59,3
0,0,0,0,0,0,22.5,0,88,0,0,0,0,149,3,0.75,0,0,0,0,2.25,15,0,0,0,2482.5,0,0,6,1,171,0,0,70,0,0,21,63,0,0,0,0,0,323,0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0.75,0,2,0,31,102.75,0,46,0,0,0,0,0,20,0,0,0,0,0,0,0,397.5,177,0,0,0,0,2,2,0,0,0,0,19,0,0,0,0,1,45,0,0,0,0,0,33.75,9,0,0,0,0,3,0,0,0,1.5,0,0,0,0,0,13.5,0,0,0,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,453,1,0,0,0,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122.25,0,0,0,1,1.5,1.5,0,0,0,0.75,0,0,1,0,0,0,0,16,786,0,0,149,0,0,0,0,0,5,901,0,0,235,0,0,0,0,0,8,78,0,0,0,0,34,0,10.5,0,0,112,0
0,0,0,0,0,0,30,16,0,0,0,0,0,22,7,0.75,0,0,0,1,9.75,28.5,0,80,0,2497.5,0,0,227,5,69.75,0,0,140,0,0,25.5,0,0,0,0,0,0,118,0,153,0,2,0,0,0,0,2,0,1,0,0,0,0,12,1.5,0,7,1,0,0,84,0,0,92,0,1.5,0,16,0,0,0,0,0,20,0,0,469,0,67,12,226.5,1,0,35,0,3,8,0,0,0,0,0,13,0,0,181.5,0,0,0,0.75,210,150,0,0,0,0,0,17,0,0,0,0,96,0,0,0,0,0,243,0,0,0,2,0,114,1905,0,0,0,0,355.5,1,0,0,11.25,0,0,0,0,0,51,0,0,0,18,22.5,0,22,1,0,0,0,0,162,0,0,0,3,0,0,0,0,0,2,18,0,2,0,0,0,0,9,12,2,0,0,0,0,31,0,0,0,0,0,4.5,60,1,0,15,10.5,0,1,0,0,0,0,0,28,0,114.75,9,0,0,12,0,0,16,0,4,0,0,16,0,0,0,34.5,0,3,0,0.75,87,0,31,0,78,0,0,1287,0,0.75,0,0,0,49,0,0,1,0,4,0,0,0,0,0,172.5,0,18,1,1,9,9,0,0,0,3.75,0,0,20,0,0,0,45,0,2,16.5,75,1688,1,0,0,0,3,1,1080,0,0,273,0,0,9,0,2,13,0,0,0,0,0,1,1.5,0,61,0,87,0
0,0,1,0,0,0.75,9,33,0,2,0,6,0,0,4,0,0,0,1,0,78.75,66,0,1,2,1374.75,3,0,2,1,155.25,0,0,68,0,0,4.5,13,0,0,0,12,0,235,0,31.5,0,3,0,0,0,0,0,2,135,0.75,0,0,0,116,0.75,406.5,0,0,0,0,154.5,0,5,2,79.5,4.5,8,586,0,0,0,0,1,37,0,0,19,0,83,0,0,0,0,36,0,4.5,9,0,0,0,0,0,50,0,0,0,0,0,3,0.75,0,308,0,21,0,0,14,51,0,12,3,1,110,0,0,0,0,1,30,11.25,471,0,18,160,23.25,144,0,1,0,41.25,3,0,0,0,0.75,0,0,0,0,0,0,3,0,0,15,385.5,2,2,0,0,0,0,0,520,0,0,6,0,0,0,1.5,0,3,46,2.25,0,8,1,0,0,12,274,25,1,0,0,0,0,1,0,0,0,0,0,0,27,0,7,50,0,0,9,0,0,0,3,0,6,0,0.75,0,0,2,1,0,0,0,0,24,0.75,192,305,180,0,0,72,149,148,0,0,157.5,0,50,49,0,1.5,0,186,0,9,19.5,0,0,0,0,0,186,0,0,17.25,1.5,0,3,31,350.25,4.5,27,0,18,0,0,5,19,77,7.5,0,0,1,3,0,0,0,2,0,0,0,146,0,0,0,0,0,0,4053,0,0,403,0,0,0,0,0,124,12,274.5,0,0,4,67,33.75,1.5,0,0,190,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,438,0,0,0,0,0,0,0,64,0,0,0,41,0,0,0,0,0,0,0,15.75,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,113.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1.5,0,0,0,0,0,2,0,6,0,99,0,50,0,0,0,0,8,0,0,0,0,1,19,0,0,0,6,0,0.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,23,0,3,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0.75,1.5,0,0,0,0,0,0,2,793,0,0,77,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,152,0
0,0,0,0,0,0,1.5,0,1,0,6,0,4,0,2589,0,42,0,0,0,0,12,0,0,0,941.25,0,3,8,38,0,108,0,132,0,0,15,17,16,0,0,0,0,52,0,45.75,0,17,2,0,0.75,3,0,0,0,0,0,2,0,27,4.5,58.5,0,0,0,0,193.5,0,0,0,24.75,0,0,0,0,783.75,0,0,0,62,24.75,12,16,0,8,132.75,0,0,7,21,0,6,142,0,0,0,0,0,35,0,0,84,4,11,10,0,340.5,5191,0,0,3,1264.5,0,56,0,0,4.5,0,59,0,3.75,0,0,2,224,414.75,0,0,0,0,77.25,10.5,0,2,0,0,10.5,0,205,0,102,1.5,0,0,0,0,55.5,0,0,1,1.5,15,0,9,2,0,0,0,39,0,0,0,0,1053,0,0,0,0,0,28,5.25,0,1,0,160,0,0,40,109,4,159.75,0,0,0,30,0,0,0,0,0,9.75,115.5,3,5,6,0,0,0,0,0,531.75,0,0,683,0,90.75,0,0,5,5,0,0,61,26,2,0,154.5,13,985,18,21.75,81,0,0,0,0,0,0,109,0,0.75,0,0,2483,0,0,15,0,0,188,0,0,0,0,0,0,7.5,25,3,0,110.25,0,6,0,38,504,7.5,0,0,19,1.5,0,25,30,0,0,0,0,23,367,0,163.5,325,0,1,0,0,2,4,616,0,0,94,0,0,0,0,0,2,20,0,0,4,0,0,0,16.5,50,0,115,0
