"Unc00re8","Unc018j2","Unc58370","GV2Pseu5","Unc003tx","Unc56563","F1NS1036","Unc05ssb","Unc04zvf","Unc59236","UncCl489","Unc010jp","Unc36521","UncO7791","Unc00a9i","Unc01w4h","Unc00mrp","UncO6496","Unc40572","Unc02lzj","UncO6120","Unc02f9r","G9KS1076","GF3Sang7","Unc03dvp","Unc05bd1","Unc03f5u","Unc04ri8","UncB2490","Unc055ix","Unc69508","Unc39912","Unc01p12","Unc015db","UncO7042","UncO6861","GWMAdo11","Unc052sp","Unc0137f","Unc01n5f","Unc00ldp","Unc03u8h","GG7Cop16","Unc94574","Unc04y3m","Unc00z5u","Unc021us","Unc03exo","Unc02o1s","GHQBrach","UncTer61","HQ1Spe60","Unc013ok","Unc71265","Unc01iri","H9MBac20","Unc019hw","Unc05quh","H0LCorp2","Unc053aw","Unc057li","Unc05768","Unc05quo","Unc01bfz","Gt8Me241","Unc21180","Unc002el","Unc00cq3","GV2Spe54","Unc054am","Unc02ruj","Gt8Me197","Unc57731","Unc01nqn","Unc99918","Unc89581","Unc0317w","UncAna95","Mx8Bact3","Unc94755","Unc02j5b","Unc57758","Unc056wq","Unc21606","Unc01t8m","FNWNL294","Unc056qn","F1NAe698","FU3Spe44","Unc91094","Unc00kv7","S53Therm","Unc01ie9","Unc04hvv","Unc44355","H0BCorr7","UncO2214","Unc03rga","Unc052lg","RbuSp395","Unc024ne","FNWNL411","Unc05eti","Unc02m8q","Unc04shn","HJZIndis","Unc022vh","Unc054vi","Gt8Me128","Unc052dz","VeeSpec9","HFOSpec6","Unc02mlm","Unc02q6j","Unc006la","Unc0100q","GFQLact9","Unc94497","Unc01c0q","Unc19563","IreBac57","Unc99751","Unc002vf","UncSta97","UncC1868","Unc05m2s","UncO2247","Unc03iyy","Unc05m8w","Unc01220","UncO6479","Unc053gf","Unc55486","Unid1952","Unc75688","G9ZRupe2","Unc050mf","UncO4779","LcbSak39","Unc02j2d","UncO6361","Unc056wt","Unc025rd","Unc038bu","CsrSp463","Unc91193","UncO6106","Unc38154","Unc031wu","Unc029p5","Unc02hhf","Unc02p9p","Unid2117","Unc00v7p","Unc0402j","Unc02v3h","Unc03xpn","Unc054uj","Unc91427","Unc01c0o","ISXSp105","GHQLimo9","Unc81011","Unc01pk4","Unc00mga","GFUMa342","Unc55881","Unc00bms","UncE6774","Rm0Bac17","Unc05oic","FNWNL448","GX7Fr128","GHQSulci","GHQSpe52","Unc036lf","Unc05i7p","Unc65343","Unc04zq9","Unc027v0","Unc01i5a","Unc39082","Unc62424","Unc00ak4","Unc71175","Unc01w9w","Unc04zlo","Unc01hjq","Unc03u2r","SlmBulb2","Unc05m27","Unc48286","Unc02jcp","Unc92642","Unc02j5n","F8IConc2","I88Mits3","Unc05irm","Unc64978","UncO1674","Unc03b0p","Unc04hf4","Gt8Met60","Unc05mrd","Unc04f12","Unc054m4","Unc03j0p","Unc025cz","I97Lenta","UncGranu","Unc02zd0","Unc02irl","Unc02lj0","Unc010xg","Unc03y4v","H9MBac19","Unide146","Unc05o9h","Unc91512","UncO9844","Unc84292","Unc91440","Unc01ll8","UncM5880","I1FDiver","Unc00t43","Unc81236","Unc00f0g","Unc36622","Unc05d9k","Unc01w0v","Rm0Bac15","I52Minu3","Unc91005","CsrNeon2","Unc93973","Unc03uw6","A6BStoq4","Unc0120x","Unc01277","Unc05mei","Unc04443","Unc00m3k","Unc05olb","Unc0163x","Unc02mpn","Unc86145","Unc02ysz","Unc81447","Unc05mdx","UncO8782","G7WHuG28","Unc38399","HfnAlv51","Unc01e6u","Unc019wl","Unc85953","Unc57013","Unc04x9p","Unc02ee9","Unc97262","Unc03evh","Unc01f0v","H4SFili3","UncCl291","GJFBac89","Unc60150","Unc0571u","Unc058de","UncG3786","Gt8Met45","Unc01qt1","UncO8895","Unc01nzf","Unc0195f","Unc00xi0","GW6Spe33","HQVSpec3","Unc01w4o","Unc64172","Unc022fm","Unc04zd2","Unc00y95","UncO5332","Unc0033e","H6ZCacca","HQDYunn7","GH8Micro","Od8Spla3","Unc057b2","Unc055sp","UncOr772","Unc0183e","Unc0546e","Unc05nru","Unc00rvu","Unc03433","Unc009tj","Unc02eb1","Unc01505","UncRumi6"
4,0,0,0,0,0,0,92,0,0,0,0,1,69,10,0,0,4,0,17,46,68,0,5,0,9010,0,0,35,0,546,0.5,0,85,0,0,0,19,0,0,0,0,484,134,0,46,0,0,0,0,8,0,0,0,26,0,0,0,2,357,0,0,0,0,0,0,130.5,0,0,0,44,0,0,0,0,0,0,0,0,64,0,0,144,0,0,2,133,0,0,24,0,0,0,0,0,124,0,0,48,0,0,2.5,0,0,0,0,0,2851,0,46,0,0,0,36,0,18,0,0,245,1,6,0,10,16,230,638,0,0,3,0,4,54,107,0,0,0,94,0,0,0,20,0,0,0,108,0,4.5,0,0,0,52,0,0,0,0,0,0,0,63,211,0,0,0,3,0,0,0.5,1,0,0,0,0.5,0,0,0,0,0,71,176,0,0,0,0,48,0,0,0,0,0,0,0,15.5,1,0,0,0,0,0,0,0,0,0,1,2084,326,36,0,0,1,0,0,37.5,6,4,34,0,18,55,1,0,0,3.5,0,21,0,0,0,0,11,0,630,0,0,523,0,0,0.5,0,0,128,0,0,0,0,5,324,0,0,0,0,96,0,0,0,0,22,1,0,0,409,16,0,0,7,0,0,0,0,12,183,0,30,109,0,0,0,0,0,3,1868,0,1,409,0,0,2,0,0,0,58,0,0,0,0,29,0,5,0,0,80,0
0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,5,0,12554,0,9,12,36,398,74.5,0,0,0,0,23,201,0,1,0,0,1,20,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,43.5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,4,0,0,0,0,0,74,291,0,0,432,0,1,0,0,0,103,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,251,5,0,0,0,1,2392,0,0,0,0,0,24,0,0,0,0,0,14.5,1,0,0,22,0,0,0,0,0,0,0,0,1,28,0,0,31,1,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,239,0,0,0,0,0,17,0,0,0,0,0,0,104.5,0,0,0,4,0,0,0,0,0,0,1,3,557,0,0,0,0,4,0,0,0,0,0,0,14.5,0,83,0,0,0.5,0,0,0,0,0,0,0,0,274,0,0,264,0,0,0,0,2,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,1,0,206,1.5,0,0,0,0,0,0,3,12,0,0,0,0,105,0,0,78,0,0,2,0,0,2,2050,0,0.5,461,0,0,0,0,0,0,57,124,112.5,0,0,1,0,24.5,0,0,179,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,10,0,4512,0,0,71,0,332,0,0,85,0,0,1,72,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11.5,2,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,36,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0,3,0,0,8,0,0,0,0,0,0,2,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,146,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.5,0,0,1520,0,0,0,0,0,110,0,0,0,6,0,0,0,7,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,4,0,0,0,284,0,0,0,71.5,0,0,0,0,0,0,0,0,72,2.5,0,0,0,2,0,0,0,0,0,0,0,0,1374,0,0,1166,0,10,0,0,0,1,3,0,0,696,0,0,0,0,7,0,0,0,0,0,0,1,0,0.5,0,0,155,0
0,0,0,0,0,0,0.5,8,0,0,0,0,0,53,4,0,0,0,0,0,0,77,0,1,0,7378,0,0,3,0,0,0,0,27,0,0,6.5,0,0,0,0,0,0,39,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,1,0,148,0,156.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,492,0,0,0,0,0,27,0,0,0,0,106,0,0,0,0,1,32,0,0,0,0,0,0,0,0,1,0,0,8.5,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,329,550,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,268,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3674,0,0,51,0,1,0,0,0,0,164,0,0,117,0,0,0,0,0,0,0,0,0,0,0,46,0,0.5,0,0,104,0
0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,37,0,0.5,0,0,0,0,2,0,0,0,2750,0,0,8,33,84,0,0,21,0,0,0,0,0,0,0,0,0,11,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,25,0,0,0,0,0,592,0,0,0,0,0,0,135,0,0,0,0,1,0,2,2,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,732,0,0,0,0,0,7,0,0,0,0,71,0,0,0,0,1,106,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,142,0,0,0,0,0,0,0,0,5,1,0,0,0,8,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,60,0,0,0,6,0,0,0,0,1,0,9.5,0,0,0,70,7,0,0,0,0,0,0,7,0,116,0,0,18,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,269,0,0,0,0,0,1,141,0,0,125,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,37,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,50.5,0,0,0,0,3,0,5,0,16,0,0,11,69,512,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,2,0,0,4,0,58,80,0,0,6,0,0,1,0,0,0,0,0,3,0,0,2352,0,0,0,0,0,133,0,0,0,0,136,0,0,0,0,1,34,0,0,0,0,0,2,0.5,0,1,0,0,77.5,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,145,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,2,0,0,0,0,4,0,0,0,65,0,202,0,0,0,0,0,0,0,7,0,46,0,0,157,0,0,0,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,29,30,1,0,0,0,0,0,0,3,0,0,0,0,0,730,0,0.5,118,0,0,0,0,0,1,2579,0,0,9,0,0,0,0,0,0,86,0,0,0,0,12,0,204.5,0,0,65,0
142,0,0,3,0,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,12,0.5,0,0,0,9842,0,0,77,9,52,0.5,0,155,0,0,1.5,199,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,12,0,0,50,0,0,17,0,0,0,0,0,0,0,0,569,0,0,6,0,1,1,99,0,0,0,0,0,640,0,0,42,0,0,0,0,0,1,0,116,1060,0,0,6,0,0,177,6,0,0,0,9,3,16,0,35,1,0,0,0,0,1,0,0,99,0,0,0,0,19.5,0,0,0,1586,0,0,0,0,0,1,0,0,0,18,0,0,58,0,2,0,0,12,142,0,0,0,899,0,0,0.5,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,14,27,8,0,0,0,0,0,0,0,0,0,0,23,0,118,0,0,5,0,0,24,0,0,5,0,66.5,0,1,4,0,1.5,0,0,0,0,0,0,65,0,114,0,0,312,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0,0,0,3,2,0,0,6,0,0,0,8,0,0,2,0,0,0,0,0,3,0,7,396,0,11,0,0,0,1,1793,0,0.5,85,0,0,0,0,1,15,0,0,0,0,0,29,0,14.5,5,0,14,0
0,0,0,0,15,4,6.5,1,0,0,0,0,0,3,4,4,0,0,0,19,6,0,0,0,0,1168,0,0,6,11,68,0,0,44,0,0,3.5,186,1,1,0,0.5,0,28,0,786,0,0,0,0,2,0,0,0,28,0,1.5,0,0,140,2,1,0,0,0,0,18.5,0,0,0,56,0,0,21,0,686,0,0,0,26,6,0,245,0,0,18,14,0,5,58,1502,18.5,2,0,0,6,6,0,70,0,0,0,0,0,0,0,0,5998,5,0,0,0,0,2,0,0,0,0,38,0,0,0,0,10,102,0,0,0,0,0,0,7.5,0,8,0,0,1,0,3,0,400,0,0,0,0,0,0,0,2,3,20,0.5,0,0,2,0,0,0,0,129,0,0,0,7,0,0,0,0,0,0,10,0,1,0,0,0,0,28,0,2,0,0,0,0,22,0,0,0,0,0,30,15,1,0,0,2,1.5,1,0,0,0,0,0,1,0,216,2,0,0,4,0,0,0,3,4,0,46,8,228,0,0,0.5,10,0,0,0,0,0,9,3,88,0,0,504,23,0,3.5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,3,22,13,0,9,13,4,0,0,4,2,0,0,0,0,30,0,8.5,89,1,0,2,32,1,4,2316,0,0,310,0,0,68,0,1,5,142,0,0,13,0,296,28,8.5,0,0,69,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0,0,0,374,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0.5,0,1,0,0,0,0,1,0,0,0,0,0,56,0,2,183,0,0,0,0,0,0,689,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0
28,0,4,1,0,0,0.5,98,0,3,10,1.5,0,774,18,0,0.5,16,12,0,184,5,0,0,0,8590,2.5,0,63,147,1738,0,0,37,7,0,9.5,74,7,0,0,9,0,94,0,672,0,1,9,0,18,0,0,8,124,0,0,0,16,28,2,106,4,5,0,336,82,0,0,0,108,0,0,97,0,600,0,0,0,68,0,6,56,0,0,2,0,0,0,97,0,2.5,111,0,180,34,0,0,103,0,0,21,0,0,7,0,134,917,0,3,0,0,0,185,0,0,0,3,98,0,0,0,0,4,249,462,0,0,2,0,1284,305.5,184,4,0,0,21,0,0,0,270,0,0,0,39,0,1.5,11,0,22,30,20,0,9,2,0,0,1,883,19,170,0,0,1250,0,0,2,0,2,24,10,0,0,0,0,0,0,207,99,8,40,0,0,0,2,0,2.5,0,0,0,38,126.5,4,1,61,8,0,112,0,0,0,2,0,5,3,14,0.5,0,4,10,8,0,47,65,8,2,57.5,62,15,259,2,14,0,0,0,0,0,0,268,17,170,0.5,2,85,0,0,1.5,0,1,1,0,0,1350,29,1,78,0,3,0,90,86,0.5,51,0,9,10,3.5,0,26,34,8,0,0,4,0,0,0,0,4,11,130,113.5,932,0,5,0,3.5,5,1,3337,4,0,149,0,0,72,0,0,296,5,0,0,2,0,124,20,12.5,223,8,19,0
