"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0,38,0,0,1,1,0,0,0,0,0,0,0,0,25,30,0,2,0,1013,0,0,2,0,1,418,2,35,4,0,2,113,0,0,0,0,0,121,0,91,0,1,0,0,0,0,0,0,0,1,0,0,0,73,0,14,0,0,0,5,153,0,6,373,7,0,0,21,1,0,0,0,1,101,0,2,108,0,0,1,0,0,0,29,581,1,0,0,0,0,0,0,42,0,0,0,0,20,1,413,77,51,0,374,4,0,0,229,0,0,0,1,238,0,0,3,0,0,21,0,0,0,4,110,0,0,1,1,1,0,0,48,0,0,0,0,1,3,0,0,27,2,0,9,31,0,1,4,0,0,0,0,252,9,0,0,0,2404,0,0,0,0,0,0,0,35,0,1,0,0,0,1,60,1,85,0,0,0,12,0,0,0,54,0,0,38,1,4,0,0,0,0,0,0,0,0,0,20,74,6,0,0,12,1,0,63,171,0,6,1,22,4,0,8,6,0,0,5,0,28,0,0,3,0,145,3,0,68,0,1,14,45,0,4,0,1,123,4,0,8,0,0,0,0,106,5,2,0,3,1,0,1,7,6,8,71,0,0,4,0,0,37,9,205,0,0,60,0,1,0,3,0,1,3,0,0,43,0,0,0,0,0,202,0,0,0,0,0,1,11,0,207,0,46,66
0,0,0,0,0,0,8,0,0,17,0,0,0,0,60,0,0,0,0,0,30,68,0,3,20,1,0,0,15,0,0,0,0,28,10,0,10,79,0,0,9,6,0,20,0,16,0,0,0,1,0,0,0,0,0,5,8,0,0,1,0,12,6,0,15,0,0,0,11,0,0,0,9,3,0,0,0,0,0,1,319,0,3,1,7,0,2,0,28,16,0,19,78,0,0,6,0,0,4,0,40,0,0,1,2,464,2,512,41,0,82,0,0,1,0,0,0,0,4,0,0,31,0,0,27,20,0,0,29,79,0,4,0,0,0,3,24,0,0,18,6,0,3,0,225,79,9,1,0,58,2,0,0,0,1,0,26,0,0,9,0,0,0,0,0,0,0,246,0,0,1,0,0,3,0,0,0,2,40,0,0,0,0,0,1,6,0,0,24,0,0,18,1,8,0,1,0,0,0,0,0,0,0,1,0,19,0,0,12,10,0,0,27,3,1,0,0,1,1,84,0,8,0,0,39,0,0,0,3,1,15,0,0,111,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,6041,0,37,95,0,0,0,0,2,2,230,0,0,107,0,0,0,0,0,3,4,0,0,0,0,7,0,9,0,0,2,0
0,0,11,0,0,0,0,0,198,7,0,0,0,0,65,15,62,0,0,0,0,15,0,0,0,108,0,0,11,83,25,0,0,110,0,0,127,81,4,35,0,9,0,0,0,29,0,0,0,0,3,0,0,0,40,29,0,0,81,0,0,0,0,2,0,0,34,0,0,65,8,4,34,0,0,0,2,0,0,47,279,0,711,0,0,2,94,0,0,15,0,10,0,0,0,0,0,5,42,0,0,23,0,0,3,63,0,4674,0,0,0,0,11,77,0,0,0,0,469,0,0,0,4,3,186,0,0,0,0,0,0,0,0,0,0,0,11,61,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,21,0,0,0,282,0,0,0,0,0,0,0,28,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,282,59,0,0,24,0,0,0,0,0,22,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,13,0,0,25,0,0,0,0,7,1,2,0,0,0,0,0,0,0,11,20,2,11,13,248,0,0,0,9,0,0,0,0,8,305,0,0,19,0,0,0,0,0,16,10,0,0,133,0,0,0,0,0,0,49,0,0,0,1,0,0,21,0,0,15,0
0,0,2,0,0,0,0,29,0,10,0,1,0,247,7,46,0,0,0,2,15,108,0,0,7,1194,0,0,2,0,165,0,4,104,0,0,7,1,1,11,8,5,0,9,0,102,0,0,0,0,1,0,1,0,5,4,6,0,0,13,0,11,0,0,0,0,173,0,0,0,12,11,26,6,0,0,1,0,0,74,84,0,36,0,27,31,0,0,7,23,6,1,16,74,0,19,0,2,32,0,0,97,0,0,7,0,0,449,0,0,0,11,0,81,0,0,1,0,43,0,0,19,0,2,43,0,0,0,0,32,9,341,0,0,0,0,8,5,0,0,14,0,0,0,0,0,0,0,0,0,8,16,0,0,1,0,0,0,8,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,105,2,0,0,1,19,2,0,0,0,0,0,0,204,31,0,0,1,1,0,0,0,0,3,0,83,15,0,0,15,37,0,0,0,0,65,0,60,16,101,0,1,569,0,1,4,0,0,0,0,0,489,0,0,0,0,0,0,33,5,2,0,0,3,5,0,0,10,11,6,23,0,3,0,0,0,37,4,27,11,0,669,0,0,0,1,1,1,2931,0,0,15,0,0,0,0,5,87,12,0,0,0,0,31,0,137,0,0,40,39
0,0,13,0,0,8,1,59,0,0,2,0,6,0,37,14,5,0,0,0,0,27,0,3,20,183,0,0,8,1,1,0,56,1,0,0,0,0,1,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,16,0,0,9,266,0,0,0,0,0,180,40,4,10,0,0,1,2,0,0,8,489,10,0,0,0,8,2,0,20,16,0,12,83,0,0,0,0,5,10,0,0,75,2,0,0,0,0,86,0,0,24,0,0,172,16,1,63,1,9,0,0,0,0,1,8,0,0,0,0,0,0,269,0,19,0,0,25,3,0,25,154,7,7,0,4,0,3,0,42,0,4,0,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,22,4,4,0,0,0,6,0,0,0,0,0,29,0,3,1,14,0,3,0,0,0,0,3,0,60,0,14,8,1,0,0,0,0,30,0,0,24,0,58,0,0,619,0,0,4,0,0,5,0,0,0,0,6,2,0,0,0,0,0,0,8,0,6,1,105,0,1,0,3,0,75,1,1,3,0,0,46,1285,0,1,264,0,10,0,12,0,1,4445,0,0,1,0,0,0,0,0,0,13,0,0,0,0,34,23,7,0,0,3,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,48,180,0,0,4,3173,0,0,6,0,1,0,14,10,0,0,7,81,0,8,12,0,0,266,0,240,0,0,0,0,0,0,0,0,0,4,1,0,12,101,0,81,0,0,0,0,0,1,0,0,28,0,0,0,0,0,1,0,0,23,78,0,1,0,0,7,0,0,9,17,0,1,1,0,0,0,0,0,60,0,6,3,0,0,0,158,0,379,81,7,21,0,0,38,0,0,0,1,3,0,17,7,5,0,67,0,0,0,0,0,0,100,0,1,0,0,7,26,0,6,0,0,3,0,0,0,34,0,0,16,14,0,0,0,0,2,0,0,0,0,0,0,0,237,0,0,0,2,0,27,4,1,7,0,0,0,0,0,115,0,69,0,0,0,21,0,0,0,0,0,2,40,1,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,20,1,0,0,0,6,0,0,35,0,0,134,0,29,0,0,4,0,0,0,68,0,312,0,37,399,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,932,0,0,0,26,27,2,0,0,2,3,0,0,0,0,0,0,0,0,1,0,3,52,0,0,0,586,0,0,896,0,0,42,1,0,0,0,0,29,0,0,0,0,0,227,0,0,0,0,66,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,2,2,0,991,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,4,11,0,0,36,66,0,0,0,0,130,0,0,0,0,0,2669,0,0,0,0,0,166,0,0,2,0,0,0,0,0,0,98,171,0,0,0,0,0,0,224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,0,20,0,0,2,43,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,7,0,10,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,3618,6,0,0,19,1,0,0,0,672,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,185,0
2,0,2,0,0,0,0,0,0,0,0,0,0,0,80,27,1,0,0,0,0,300,0,27,34,2269,0,0,151,1,0,0,0,0,27,0,36,243,0,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,4,0,0,11,0,0,0,0,0,258,70,0,0,7,0,0,0,0,0,0,0,266,0,0,0,0,9,0,0,46,63,0,14,4,0,0,1,0,6,0,0,0,8,0,0,0,0,0,369,0,0,17,0,0,47,0,0,112,0,54,1,0,0,10,0,544,0,0,0,0,0,0,0,0,0,3,0,190,24,0,0,15,6,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,0,0,23,0,0,0,0,0,0,0,0,0,11,0,71,3,61,1,0,0,0,0,0,0,0,265,0,146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,1,6,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,25,224,0,0,380,0,15,0,0,0,0,2761,0,4,118,0,2,0,0,1,0,0,0,0,0,0,31,0,12,0,1,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,2,52,0,0,0,0,83,0,0,0,0,0,27,73,68,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,30,2,0,0,153,0,343,0,0,0,0,0,0,0,0,0,0,0,83,0,3,0,0,0,0,0,0,0,0,6,0,0,0,330,0,0,0,0,3,85,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,27,4,0,2,0,60,172,0,0,0,23,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,183,0,29,0,0,0,0,23,0,0,0,0,0,38,0,0,0,302,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,2,0,80,0,0,0,0,0,78,0,0,0,0,0,0,357,0,0,33,7,0,0,51,0,0,0,0,0,0,0,0,0,4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,17,0,0,1039,0
0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,4667,0,0,2,0,75,0,0,105,0,0,0,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,180,0,0,0,0,0,0,169,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,0,0,0,1,0,0,0,0,0,57,0,506,0,0,42,0,0,0,4,1,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23,7,0,0,18,0,0,3,0,0,64,0,0,2,0,0,18,23,0,0,0,0,0,51,0,0,0,179,0,0,0,12,0,0,0,0,0,0,0,0,0,6,127,1,0,0,0,0,0,0,0,0,0,0,165,36,1,16,0,10,31,0,0,0,0,35,0,29,65,0,0,0,38,0,0,0,0,0,0,0,80,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,0,1,17,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,62,0,0,279,0,1,0,0,0,0,1218,0,0,419,16,0,0,0,0,47,0,0,0,0,0,6,0,31,0,0,79,0
