"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,1,0,0,0,3,0,0,0,0,0,0,0,244,0,0,0,0,0,1,7,0,22,1,2148,0,0,21,97,40,0,2,9,0,0,21,268,0,0,0,0,0,2,0,164,0,1,0,0,2,0,1,0,1,1,0,0,0,77,0,1,0,119,0,0,461,0,0,0,5,0,0,26,287,0,0,0,0,35,0,1,11,0,20,4,0,0,0,23,11,860,0,0,0,0,0,0,3,0,17,0,161,0,0,1,0,264,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,4,121,0,0,1,0,1,0,0,1,1,0,0,1,0,13,0,0,0,0,699,0,166,1,0,0,0,0,2,0,0,0,182,768,5,0,0,0,0,0,0,51,2,14,156,12,0,0,0,0,0,0,8,3,129,54,0,0,0,0,1,0,0,0,0,0,1,100,5,0,0,0,0,0,0,0,0,23,0,2,0,84,0,0,0,5,0,155,165,44,1,0,6,1,179,0,302,1,0,4,0,0,0,0,3,0,0,15,0,59,0,49,19,0,0,54,0,0,0,0,0,0,8,0,0,0,0,3,2,0,0,0,43,0,9,24,1,0,0,2,179,0,0,0,0,78,0,24,7,0,0,0,1,0,0,194,0,0,74,0,0,0,0,0,14,31,0,0,0,0,0,0,10,0,0,154,0
0,0,0,1,0,0,4,0,0,0,0,0,0,0,20,1,45,0,0,2,7,5,0,0,0,5274,0,0,260,0,0,0,0,49,0,8,4,77,0,0,0,0,0,1,0,348,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,30,1,0,98,0,0,0,3,0,0,0,0,0,1,0,0,20,0,0,0,3,1,0,12,136,54,21,0,0,41,0,0,7,0,5,0,0,0,0,0,0,268,5,8,0,0,0,0,0,2,0,0,162,0,0,0,17,176,141,103,0,0,0,0,7,25,0,4,0,0,33,5,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,0,0,32,0,0,0,0,46,0,0,2,0,0,86,0,0,0,0,0,12,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,72,0,0,6,13,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,1,5,0,2,0,0,0,0,0,1,24,0,318,0,0,0,0,0,1,1363,0,0,185,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,87,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,22,23,0,0,0,0,146,0,1,0,373,0,0,25,12,1495,0,0,37,0,21,32,469,0,1,1,0,0,0,0,69,0,0,0,0,0,6,0,0,0,7,3,0,0,226,0,0,1,0,0,19,0,12,0,54,64,0,0,0,0,0,0,0,0,74,0,0,32,0,0,2,1,0,0,15,0,312,0,0,5,0,0,0,22,0,15,1,16,0,0,0,0,23,0,1,0,0,0,304,0,0,0,1,81,0,0,28,9,0,0,0,1,0,0,0,3,5,1,2,0,0,86,0,0,5,1,0,4,0,666,10,96,0,0,0,0,0,2,0,0,0,153,0,135,0,19,0,0,15,1,32,7,25,0,13,4,0,0,155,33,0,0,0,212,0,3,1,0,0,12,20,0,0,0,0,2,135,4,12,0,0,0,0,0,0,0,11,0,0,60,46,0,0,0,1,0,19,0,66,0,0,135,9,0,43,599,0,0,42,3,0,0,0,0,3,0,0,0,18,0,122,237,1,0,0,0,0,0,0,2,1,0,0,0,0,0,5,33,0,86,15,2,0,0,0,3,0,0,1,0,0,0,0,136,0,0,121,8,0,3,0,0,0,40,1277,0,0,350,0,0,0,0,1,35,26,0,0,0,3,190,0,10,0,0,254,38
0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,0,0,3,2,0,20,16,0,0,0,694,0,0,50,0,645,0,0,0,0,0,195,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,3,0,0,5,0,0,10,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,36,0,6,0,0,0,87,0,0,22,0,0,52,0,2,1,0,0,2589,0,0,0,0,0,3,1,0,0,0,140,0,0,0,0,1,489,0,0,0,2,0,0,2,0,0,0,0,433,0,0,0,7,0,0,0,0,0,2,0,0,0,5,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,387,0,0,0,0,2,0,0,0,17,0,0,0,4,0,0,2,0,288,0,0,21,0,4,0,8,0,0,3,0,10,0,0,317,0,0,1,0,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0,0,11,0,6,0,7,48,2,0,0,1,0,0,0,0,0,204,0,40,685,2,5,0,0,3,0,1152,0,0,344,0,0,0,0,1,2,9,61,0,0,0,135,0,1,0,0,353,0
0,1,0,0,0,0,1,1,0,1,0,0,0,0,927,0,0,1,0,0,19,3,0,6,0,175,0,0,19,39,13,0,0,82,0,0,21,0,0,0,0,0,0,2,0,99,0,0,0,0,6,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,13,0,0,7,1,1,0,0,0,0,0,0,0,1,0,1,1,0,20,0,1,0,0,8,0,88,8,0,0,0,0,0,8,0,0,111,0,0,1,1,0,1930,0,18,0,0,0,7,0,0,0,0,27,0,0,0,0,1,133,0,0,0,1,0,0,23,0,1,0,0,259,0,0,0,162,7,0,0,12,0,1,1,0,0,1,2,0,3,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,1,0,67,0,0,0,1,1,19,0,0,0,4,1,1,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,1,0,4,8,0,0,13,0,0,0,2,1,0,25,2,246,5,1,13,0,0,0,1,0,0,35,1,12,0,0,1347,0,0,3,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,14,0,0,3,1,0,1,4,1,0,0,0,6,377,0,1,2485,0,0,1,0,0,0,782,1,0,28,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,39,0
0,0,0,32,0,0,36,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,8,0,1473,0,0,0,50,74,0,0,0,0,0,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,2,0,0,0,475,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2250,0,0,23,0,0,0,0,0,0,79,0,4,5,0,0,97,0,0,0,0,0,0,0,0,0,0,0,1,410,0,0,0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,309,0,0,0,0,0,0,0,0,147,0,23,0,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,1865,8,4,0,0,0,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,26,0,0,0,0,0,0,1,14,629,0,0,2,40,316,283,0,108,0,0,0,175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,73,0,0,240,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,4,1,125,0,0,19,1,0,0,0,5,0,1,0,0,12,27,236,0,0,0,0,272,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,12,359,0,0,0,0,0,0,50,52,0,109,0,0,0,0,0,0,0,0,0,82,95,0,0,0,0,0,43,0,0,0,1,0,47,0,0,0,0,3,0,0,0,0,209,0,34,59,8,0,30,0,1,0,0,0,195,0,0,0,0,19,0,89,0,0,2,0,13,0,0,0,0,0,0,0,2,0,156,0,0,0,11,0,0,0,13,7,61,0,0,0,0,0,0,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,124,845,0,1,0,0,0,0,2603,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0
0,0,1,0,0,0,0,115,0,0,0,2,0,16,0,0,0,1,0,56,66,11,0,0,10,0,0,0,8,10,346,0,2,23,0,0,14,78,1,0,0,0,0,0,0,258,449,0,0,0,1,0,0,2,0,0,0,0,0,347,2,0,1,1,0,48,134,0,0,88,45,0,0,79,0,0,0,0,0,500,0,17,252,2,57,0,89,472,0,28,437,4,0,0,0,72,0,0,34,0,1,0,0,0,2,0,157,154,0,0,0,0,0,110,0,1,0,3,83,7,0,0,0,1,33,219,0,152,1,0,0,134,0,3,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,2,5,0,0,3,0,0,0,0,6,33,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,96,132,0,4,0,0,0,0,0,0,0,0,0,0,72,2,0,0,0,3,2,0,0,0,0,0,145,0,130,0,0,1,7,0,0,21,18,18,1,118,23,87,17,459,53,0,3,0,0,38,0,6,27,346,0,4,1439,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,225,0,0,0,0,13,0,0,0,0,1,0,0,1,0,1,0,0,31,39,5,30,11,0,1,1,0,7,0,712,0,0,81,0,0,0,1,5,96,0,0,0,0,0,5,3,8,0,0,146,0
0,0,0,0,0,0,0,0,74,0,0,0,0,0,4,1,0,0,0,0,0,34,0,0,0,1224,0,0,10,0,0,0,0,159,0,0,33,537,0,0,0,0,0,107,0,0,0,4,0,0,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,31,0,0,13,0,0,0,0,0,0,0,2,253,0,0,5,1,0,0,167,1,7,8,0,0,0,0,0,0,0,0,0,0,0,2,1,13,0,0,0,0,0,0,186,0,0,0,0,79,0,0,0,4,1,445,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,79,0,3,0,0,0,21,0,0,0,0,13,0,132,54,253,0,0,0,0,7,0,1,0,0,0,0,89,0,0,1726,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,1,0,5,19,0,0,0,1,0,0,7,0,0,9,0,10,507,0,0,0,0,0,0,1696,0,0,618,0,0,0,0,0,0,18,0,0,0,0,378,2,213,3,0,244,0
0,0,0,1,0,0,1,0,0,0,0,0,0,209,150,0,0,0,1,0,6,20,0,0,0,2724,0,0,79,0,7,0,0,13,0,0,0,0,0,0,0,0,0,46,0,232,0,0,0,1,0,0,0,0,0,0,0,3,0,14,0,13,5,0,1,0,121,0,0,36,0,0,0,9,0,0,0,0,0,10,0,0,0,0,11,112,0,0,0,107,0,13,4,0,0,0,0,0,0,0,38,119,64,0,1,0,0,39,0,0,25,0,16,50,0,0,0,0,27,0,2,0,0,0,349,0,0,0,0,0,2,22,0,0,0,0,601,0,0,0,6,0,0,0,956,0,70,11,0,4,60,0,0,1,0,0,223,21,273,34,0,0,0,0,0,47,0,59,133,0,0,0,0,0,0,0,13,0,170,50,18,0,0,0,2,125,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,43,0,0,0,4,2,0,0,0,0,0,0,42,0,0,0,0,0,3,0,6,0,0,1,0,0,0,4,0,92,0,0,47,0,143,23,0,0,152,0,0,12,5,0,0,0,98,0,0,4,0,0,0,0,14,0,0,2,0,4,0,0,4,0,0,0,0,0,120,0,20,244,0,11,0,0,0,0,1122,0,0,0,0,0,0,0,0,27,19,0,0,0,0,8,0,0,0,0,105,0
