"subjectid_text","batchid","cond"
"Subject_1","batch_0","cond_0"
"Subject_2","batch_1","cond_1"
"Subject_3","batch_1","cond_1"
"Subject_4","batch_1","cond_1"
"Subject_5","batch_1","cond_1"
"Subject_6","batch_1","cond_1"
"Subject_7","batch_0","cond_0"
"Subject_8","batch_1","cond_1"
"Subject_9","batch_1","cond_1"
"Subject_10","batch_1","cond_1"
"Subject_11","batch_1","cond_0"
"Subject_12","batch_1","cond_1"
"Subject_13","batch_1","cond_0"
"Subject_14","batch_1","cond_1"
"Subject_15","batch_1","cond_1"
"Subject_16","batch_1","cond_1"
"Subject_17","batch_1","cond_1"
"Subject_18","batch_0","cond_0"
"Subject_19","batch_1","cond_1"
"Subject_20","batch_1","cond_0"
"Subject_21","batch_0","cond_0"
"Subject_22","batch_0","cond_0"
"Subject_23","batch_0","cond_0"
"Subject_24","batch_0","cond_0"
"Subject_25","batch_0","cond_0"
"Subject_26","batch_0","cond_0"
"Subject_27","batch_0","cond_0"
"Subject_28","batch_1","cond_0"
"Subject_29","batch_0","cond_0"
"Subject_30","batch_0","cond_0"
"Subject_31","batch_0","cond_0"
"Subject_32","batch_1","cond_1"
"Subject_33","batch_0","cond_0"
"Subject_34","batch_0","cond_1"
"Subject_35","batch_0","cond_0"
"Subject_36","batch_0","cond_0"
"Subject_37","batch_0","cond_0"
"Subject_38","batch_0","cond_0"
"Subject_39","batch_0","cond_0"
"Subject_40","batch_1","cond_1"
"Subject_41","batch_1","cond_1"
"Subject_42","batch_0","cond_1"
"Subject_43","batch_1","cond_1"
"Subject_44","batch_0","cond_0"
"Subject_45","batch_0","cond_0"
"Subject_46","batch_1","cond_1"
"Subject_47","batch_0","cond_0"
"Subject_48","batch_0","cond_1"
"Subject_49","batch_1","cond_1"
"Subject_50","batch_1","cond_0"
"Subject_51","batch_1","cond_1"
"Subject_52","batch_1","cond_1"
"Subject_53","batch_1","cond_1"
"Subject_54","batch_1","cond_1"
"Subject_55","batch_1","cond_1"
"Subject_56","batch_1","cond_1"
"Subject_57","batch_1","cond_1"
"Subject_58","batch_1","cond_1"
