,nobc,harmony,combat,limma,MMUPHin,ConQuR_rel,percentile_norm
batch_aitch_r2,0.0491775313610697,0.0049929245591596,0.0194862044973956,0.0239580856803306,0.0393034254223289,0.0518241944240931,0.0010458908410542
biovar_aitch_r2,0.0194777124384737,0.0059776915547932,0.0245118027651192,0.0093396211945301,0.0185780677919441,0.0167976396854342,0.0004529407933852
aitch_pval_batch,0.001,0.001,0.001,0.001,0.001,0.001,0.114
aitch_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.001,0.929
batch_bray_r2,0.0453628960144586,0.0399386757540025,0.0162620699087315,0.1202379837885733,0.0161787445816412,0.0021444060007951,0.0011060664653845
biovar_bray_r2,0.0117425199708514,0.0101792305309836,0.0067204029902897,0.0253037381495071,0.0104678202484702,0.0082496364328428,0.0004256636838763
batch_shannon_pval,2.2445965471926692e-126,6.319432352939055e-07,4.781420856783311e-10,1.7297493842715912e-66,1.4461359340154645e-56,4.4851218399168655e-14,0.0726828227774266
biovar_shannon_pval,4.4309440057738885e-22,1.7735159548169466e-08,7.617266942072105e-18,2.3400180552010886e-20,1.2390764558697372e-15,9.17203756721448e-17,0.3963200853787381
bray_pval_batch,0.001,0.001,0.001,0.001,0.001,0.001,0.044
bray_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.001,0.957
rf_baseline_likelihood,0.6803562592775854,0.6803562592775854,0.6803562592775854,0.6803562592775854,0.6803562592775854,0.6803562592775854,0.6803562592775854
rf_average_acc,0.7194458189015339,0.7347847600197922,0.6788718456209797,0.7773379515091539,0.7135081642751113,0.7941613062840178,0.6803562592775854
rf_macro_precision,0.7748958557782087,0.7117317154532566,0.3399405351833499,0.7603687929017852,0.7663752695465543,0.8838637632607482,0.3401781296387927
rf_weighted_precision,0.7522752195817365,0.7236930460504128,0.4625613417883286,0.7709148428802777,0.7451410437929004,0.8419719688110131,0.4628846395381889
rf_macro_recall,0.5689423022797636,0.625764705882353,0.4989090909090909,0.6984835350408105,0.559244019138756,0.6780185758513932,0.5
rf_weighted_recall,0.7194458189015339,0.7347847600197922,0.6788718456209797,0.7773379515091539,0.7135081642751113,0.7941613062840178,0.6803562592775854
rf_macro_f1,0.5419810806046821,0.6322900033673325,0.404361921603301,0.7140130312826253,0.5255708897418443,0.6968590359325827,0.4048881036513545
rf_weighted_f1,0.6448203446892646,0.7023168802179822,0.5502203287526362,0.7625554780177874,0.6332802239672781,0.7588095643921426,0.5509363112524617
rf_auc,0.5689423022797635,0.625764705882353,0.4989090909090909,0.6984835350408105,0.559244019138756,0.6780185758513932,0.5
runtime,NA,4.226349353790283,27.8468441963196,0.0951602458953857,3.68802237510681,1952.191147089,110.36320662498474
