subject_id,batch_var,bio_var
1,batch1,cond2
2,batch1,cond2
3,batch1,cond2
4,batch1,cond2
5,batch1,cond2
6,batch1,cond2
7,batch1,cond2
8,batch1,cond2
9,batch1,cond2
10,batch1,cond2
11,batch1,cond2
12,batch1,cond2
13,batch1,cond2
14,batch1,cond2
15,batch1,cond2
16,batch1,cond2
17,batch1,cond2
18,batch1,cond2
19,batch1,cond2
20,batch1,cond2
21,batch1,cond2
22,batch1,cond2
23,batch1,cond2
24,batch1,cond2
25,batch1,cond2
26,batch1,cond2
27,batch1,cond2
28,batch1,cond2
29,batch1,cond2
30,batch1,cond2
31,batch1,cond2
32,batch1,cond2
33,batch1,cond2
34,batch1,cond2
35,batch1,cond2
36,batch1,cond2
37,batch1,cond2
38,batch1,cond2
39,batch1,cond2
40,batch1,cond2
41,batch1,cond2
42,batch1,cond2
43,batch1,cond2
44,batch1,cond2
45,batch1,cond2
46,batch1,cond2
47,batch1,cond2
48,batch1,cond2
49,batch1,cond2
50,batch1,cond2
51,batch1,cond2
52,batch1,cond2
53,batch1,cond2
54,batch1,cond2
55,batch1,cond2
56,batch1,cond2
57,batch1,cond2
58,batch1,cond2
59,batch1,cond2
60,batch1,cond2
61,batch1,cond2
62,batch1,cond2
63,batch1,cond2
64,batch1,cond2
65,batch1,cond2
66,batch1,cond2
67,batch1,cond2
68,batch1,cond2
69,batch1,cond2
70,batch1,cond2
71,batch1,cond2
72,batch1,cond2
73,batch1,cond2
74,batch1,cond2
75,batch1,cond2
76,batch1,cond2
77,batch1,cond2
78,batch1,cond2
79,batch1,cond2
80,batch1,cond2
81,batch1,cond2
82,batch1,cond2
83,batch1,cond2
84,batch1,cond2
85,batch1,cond2
86,batch1,cond2
87,batch1,cond2
88,batch1,cond2
89,batch1,cond2
90,batch1,cond2
91,batch1,cond2
92,batch1,cond2
93,batch1,cond2
94,batch1,cond2
95,batch1,cond2
96,batch1,cond2
97,batch1,cond2
98,batch1,cond2
99,batch1,cond2
100,batch1,cond2
101,batch2,cond2
102,batch2,cond2
103,batch2,cond2
104,batch2,cond2
105,batch2,cond2
106,batch2,cond2
107,batch2,cond2
108,batch2,cond2
109,batch2,cond2
110,batch2,cond2
111,batch2,cond2
112,batch2,cond2
113,batch2,cond2
114,batch2,cond2
115,batch2,cond2
116,batch2,cond2
117,batch2,cond2
118,batch2,cond2
119,batch2,cond2
120,batch2,cond2
121,batch2,cond2
122,batch2,cond2
123,batch2,cond2
124,batch2,cond2
125,batch2,cond2
126,batch2,cond2
127,batch2,cond2
128,batch2,cond2
