,global_batch_p_val_PC0,global_batch_p_val_PC1,global_biovar_p_val_PC0,global_biovar_p_val_PC1,runtime
limma,0.09221933328588912,0.25221246630208527,0.05140080054689541,0.05140080054689541,2.05650877952576
MMUPHin,0.15593337772867719,0.7987184411451639,0.015108845906838472,0.015108845906838472,13.1750779151917
ConQuR,0.0674624344106234,0.44772364702553547,0.04571941668932512,0.04571941668932512,2.94891632795334
ConQuR_libsize,0.06456747812222943,0.4583786059999274,0.044371474437133684,0.044371474437133684,2.94891632795334
Percentile_norm,0.9063382732320239,0.42177189244907476,0.646755493512577,0.646755493512577,
harmony,1.9615772739458375e-11,0.633758596363026,3.6754981820688716e-05,3.6754981820688716e-05,31.85528540611267
harmonicMic,2.307949039847336e-11,0.4271317559633647,1.6045747200499834e-05,1.6045747200499834e-05,965.4728925228119
harmony_PCs,6.817778711220405e-38,0.05500297933804064,3.630330108691418e-08,3.630330108691418e-08,
harmonicMic_weighted,2.307949039847336e-11,0.4271317559633647,1.6045747200499834e-05,1.6045747200499834e-05,19.765371561050415
combat,NA,NA,NA,NA,3.0289183139801
