,global_batch_p_val_PC0,global_batch_p_val_PC1,global_biovar_p_val_PC0,global_biovar_p_val_PC1,runtime
combat,0.35254170543829405,0.029367342245451688,0.87211457611837,0.87211457611837,3.70237239201864
limma,0.34119931439323586,0.16965410969384664,0.8268759120975173,0.8268759120975173,0.938920259475708
MMUPHin,0.6613920672959547,0.2239998381224044,0.5395754984502972,0.5395754984502972,7.583829164505
ConQuR,0.7853610643357885,0.7636862386356397,0.3237100672615982,0.3237100672615982,1.33294810056686
ConQuR_libsize,0.787981054953081,0.7920884898096423,0.30886159106956285,0.30886159106956285,1.33294810056686
Percentile_norm,0.1348456418974307,0.270322820915977,0.8298105063585925,0.8298105063585925,
harmony,0.09142371435494125,1.1192700788050965e-07,0.0856844089720795,0.0856844089720795,31.85528540611267
harmonicMic,0.022497498389558893,5.427540384379367e-11,0.07640129553146612,0.07640129553146612,71.90853953361511
harmony_PCs,6.396493822488888e-05,1.2351060316587446e-17,0.08799616775176405,0.08799616775176405,
harmonicMic_weighted,0.022497498389558893,5.427540384379367e-11,0.07640129553146612,0.07640129553146612,19.765371561050415
